Parts,Link/STL,Amount,FIlimant ,Time ,Price,,Total:,
Flanged Ball Bearings,https://www.amazon.com/F605ZZ-Miniature-Bearings-Shielded-Pre-Lubricated/dp/B0CRLGHJG9/ref=sr_1_3?crid=3U84WDX7EGLER&dib=eyJ2IjoiMSJ9.jMhNswXEXPMt_UG59-uiBq7qk69bBtyH_7Wry-9fqcj1dWBBmI3vpLd1DFwH8k6dAlZ0b1kFTY3z4iNYyaZPdvDxELAG7BeCfqlXwbc1x_QmaPLHfngdB-mRl_F18E2s0lrd3_GhXFhirhMziLhGV67wBNoGycIJxHR0qAdU_gPeM7OrwJ9vGNenufY-FAbEiL11Zp4mA98IXQhv9psFNy5w1mrEIS-_YlSRvMrqDH0.EYXT873vY2_wIoJFX5d4Ec854mfOpnV3dVYuICjLoTk&dib_tag=se&keywords=od%2B14mm%2B5mm%2Bid%2Bball%2Bbearing%2Bflanged&qid=1769362099&sprefix=od%2B14mm%2B5mm%2Bid%2Bball%2Bbearing%2Bflange%2Caps%2C157&sr=8-3&th=1,x1,0,0,$9.99,,,
150mm Lead Screw,https://www.amazon.com/LICTOP-Diameter-Printer-Set%EF%BC%88Lead-Bearing/dp/B07PPGLH56/ref=sr_1_5?crid=3GUV5U9QPDKFR&dib=eyJ2IjoiMSJ9.uBUwohl41yfGTY_n0hSYSYUgdjNb4lYOe0U9yYwttaX_XSNh0nxG4ELzhyo94vjk_4WH2FhF0mnYNekwyjUqXH0A3DUH7KNhg7wol1b__LFPBrWG9kI0721cWzLCCIxnX4vRYTK8yWee0EiucXU7QKUXZwuloP-QQo5EqjdHU8vb_if0lbNfyB7NqcPwpF-NPPVy0-KE65wU7dQreNMbS_iDCV1f6kBEWzFlQsavlnY.-uK1hvi-sEi46aWgKs3Kg_708Vk5ZIuZk6odpIxZB8E&dib_tag=se&keywords=lead%2Bscrew%2B180%2Bmm&qid=1769371723&sprefix=lead%2Bscrew%2B180%2Bmm%2Caps%2C124&sr=8-5&th=1,x1,0,0,$12.49,,,
60 Teeth Pulley,https://www.amazon.com/8mm-Bore-60-Teeth-Synchronous/dp/B0FNDF5HHP/ref=sr_1_3?crid=K009BUFCD0JZ&dib=eyJ2IjoiMSJ9.Yt0Mhk2YMXV3SlnNiQMnbXdt89pdqfMPchVHBuUJC4FQVKuyukdIlLjap2K47riAmMcq_SCTJ29olSahJ3cbjaG9UuaZ5TGvIRv7ZGOnkpJ5ZjxNCt19Y1OwpnCcY7IAhb7IuF0ADYMGhTnlXR8C-vbA04kBzKl9_4pNofGxP-UGUnRaleMyKDYR5xjZ3EysirKh9TIc46VQZNkdEQWLvoQVcSXoGQPhyE2mA5_bGBQ.2jXHMvVQAoNs9ELZUOFHOs3ScTMmelaxckAqth-AXfo&dib_tag=se&keywords=8mm%2Bbore%2Bpulley%2B60&qid=1769379037&sprefix=8mm%2Bbore%2Bpulley%2B60%2Caps%2C163&sr=8-3&th=1,x1,0,0,$9.49,,,
Power Supply,https://www.amazon.com/ALITOVE-Transformer-Switching-Converter-Security/dp/B078RTV9C4/ref=sr_1_4?crid=AWL1W5U6VXRA&dib=eyJ2IjoiMSJ9.zBPnue_wGEfdwk_aoeOwtMdRkR45uFRqt-8_ITgxSgh-v_8fmIjXvDbSW5lscRPLGGui2BVITMdj1-1_3PCIO87Ufag6SUjwrjt9IK4PoR4ou1qB_Bl12rh1TbgsPsQBiM-1-Ep0Wc8sdMDmxNokwBDlaLACEPErulhnxhr6mexBUj_HyIinAkIcSVXxWdzb9Z756wg2lfL1XOEgF-gqgGvxi5I9DrEgm1vxTvleOoo.gByZXWcZiIOkIJgdgGWWvdKJF5_i7FWLYWvCSfUb6Hk&dib_tag=se&keywords=12v%2Bdc%2Bpower%2Bsupply&qid=1769527293&sprefix=12v%2Bdc%2Bpower%2Bsupply%2Caps%2C127&sr=8-4&th=1,x1,0,0,$17.99,,,
CNC Shield,https://www.amazon.com/AITIAO-DRV8825-Expansion-Engraver-StepStick/dp/B0B24YS695/ref=sr_1_7?crid=T3XNYW1Z5TVX&dib=eyJ2IjoiMSJ9.jBeMYtYhPWLd55CwYYLAa1fM5N3hwIfjxL9bLPSTUuYCsC7vACRH1-XgHpcZvAtt4K5akJ_CNuywXAmNZ3UkO8jsrxIVtnN_dgJUFxk43fM0aZ6Vc3I6E8qJb7UNpjMNmuO8bNAYtTHZUSG6aXZ57wtTqYNx_T6lmj2hc1f9HK-rYfB4nj_WyH-O0M9yHp32jjqDWbfPxpSaLGJrqBOPM-7xyd5eAikPzA9KoYikjWw.mPxoT-Ift0yRX8hTtdw7frD98v7-RhWMZoxBA9OTU3Q&dib_tag=se&keywords=cnc+shield&qid=1770169168&sprefix=cncsheild%2Caps%2C172&sr=8-7,x1,0,0,$15.99,,,
Emergency Stop,https://www.amazon.com/mxuteuk-Stainless-Emergency-Connection-MXU-DT-CT/dp/B07WTL3KPB/ref=sr_1_4?crid=1KKVAGSLXV48A&dib=eyJ2IjoiMSJ9.UCAZ2swp1k_byhBhn4L8msf5_85IgvErAa4oEarIY1IScNZ2WzEA34e8yZI1By7IL18GaR0MsAWqil4dJgm8RzOwkQaTV53CQpTXT-F9_9vVAnB-i14Ij5baJjHtwiAQt_vq-EmKYq1QlpXaEys7fz8xiFE8bo_gj4qSkk7zsBwSVFTKY6Gs2h1fcpr7r6gqRJ1yRhdCBmUOihgytv4jyV4LWT4v9-hyJxAxEidrWcU.MQKiioiB0zprtQRtwWwDr8U4og3_mdtbDXKA377Tbvg&dib_tag=se&keywords=22%2Bmm%2Bstop&qid=1770169372&sprefix=22%2Bmm%2Bestop%2Caps%2C171&sr=8-4&th=1,x1,0,0,$13.99,,,
Timing Belt,https://www.amazon.com/uxcell-Timing-Length-Inside-Synchronous/dp/B0FPLGZ915/ref=sr_1_18?crid=2LG86PY9OU6Y6&dib=eyJ2IjoiMSJ9.DawKL6bwUf-X2fsnMpQeNeCclK9VKt1XfSvEj3gWuoceQznPJ4r4l6kwQhs7dT2KOkH2CGzeyEKRIxMG0GhqB0R9J9dF8y8NkYq6RKradRNQraG-nYwZbfEd1tLNioHuNgqg3dPx-N8RJerbLvPLjH5m54BrJbRf8NBOgfhgZjkM95HtRkE7nHVcvHQOS-XHtJqcg6M0Y1AXKEArAyjv8kCWS8su0zgJTLFotGN3hPA.HbMnXnjYhJF30csD2tEX8PCUD2VUf8cHnniySqgEUVU&dib_tag=se&keywords=5M%2Bpitch%2B20mm%2Bwidth%2BTiming%2Bbelt&qid=1770169767&sprefix=5m%2Bpitch%2B20mm%2Bwidth%2Btiming%2Bbelt%2Caps%2C208&sr=8-18&th=1,x1,0,0,$19.99,,,
500mm MGN12 Linear Rail,https://www.amazon.com/Linear-Stainless-Carriage-Printer-Machines/dp/B0D9D5LCY7/ref=sr_1_4?crid=2CB9X1579OFNQ&dib=eyJ2IjoiMSJ9.Ld5P-xLhohuVZFyM-CoM-RCxm9JMMLHb1s5DIgEQndwIcTYZzMT_VytQ-AZaulQKMCUPI_rgSpYQHPoGUlq8-vOlEpY5rk1GF_tmw2m1iR66NmCibJGPN3Wd6AB383tH-52LqUbP0gZYwGecigy9UlkVsGQbf4nmlcwdXkcf4yNlNhgHKR5JpCNzqol37MdI_kTsZBJCSrZC-S_vobBA9tbyW_v01KShPtYKWqfJpX4.u1InFtiFmiGleTMZKkCW5FxiTKunt5mpJY0Xo9qPU-0&dib_tag=se&keywords=500mm%2Bmgn12h%2Brailx2&qid=1770170036&sprefix=500mm%2Bmgn12h%2Brailx2%2Caps%2C156&sr=8-4&th=1,x2,0,0,$57.98,,,
20x20 extrusion ,https://www.zyltech.com/2020-t-slot-aluminum-extrusion-pre-cut-lengths-300mm-2000mm/,x2,0,0,$7.90,,,
Makita router ,https://www.inventables.com/products/makita-router?variant=41037047398457,x1,0,0,N/A,,,
